Title,URL,Image_URL,Synopsis,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,texto_limpo,texto_sem_stopwords
Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,https://cdn.myanimelist.net/images/anime/1015/138006.jpg,"During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them. However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her ""usual"" routine of collecting spells across the continent. Due to her different sense of time, she seemingly holds no strong feelings toward the experiences she went through. As the years pass, Frieren gradually realizes how her days in the hero's party truly impacted her. Witnessing the deaths of two of her former companions, Frieren begins to regret having taken their presence for granted; she vows to better understand humans and create real personal connections. Although the story of that once memorable journey has long ended, a new tale is about to begin. [Written by MAL Rewrite]",TV,28,Finished Airing,"Sep 29, 2023 to Mar 22, 2024",Fall 2023,Fridays at 23:00 (JST),"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan",Crunchyroll,Madhouse,Manga,"AdventureAdventure, Award WinningAward Winning, DramaDrama, FantasyFantasy",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"9.271 (scored by 890842890,842 users) 1 indicates a weighted score.",#12 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#104,"1,446,027","89,924",during their decadelong quest to defeat the demon king the members of the heros partyhimmel himself the priest heiter the dwarf warrior eisen and the elven mage frierenforge bonds through adventures and battles creating unforgettable precious memories for most of them however the time that frieren spends with her comrades is equivalent to merely a fraction of her life which has lasted over a thousand years when the party disbands after their victory frieren casually returns to her usual routine of collecting spells across the continent due to her different sense of time she seemingly holds no strong feelings toward the experiences she went through as the years pass frieren gradually realizes how her days in the heros party truly impacted her witnessing the deaths of two of her former companions frieren begins to regret having taken their presence for granted she vows to better understand humans and create real personal connections although the story of that once memorable journey has long ended a new tale is about to begin written by mal rewrite,decadelong quest defeat demon king members heros partyhimmel priest heiter dwarf warrior eisen elven mage frierenforge bonds adventures battles creating unforgettable precious memories however time frieren spends comrades equivalent merely fraction life lasted thousand years party disbands victory frieren casually returns usual routine collecting spells across continent due different sense time seemingly holds strong feelings toward experiences went years pass frieren gradually realizes days heros party truly impacted witnessing deaths two former companions frieren begins regret taken presence granted vows better understand humans create real personal connections although story memorable journey long ended new tale begin written mal rewrite
Steel Ball Run: JoJo no Kimyou na Bouken,https://myanimelist.net/anime/61469/Steel_Ball_Run__JoJo_no_Kimyou_na_Bouken,https://cdn.myanimelist.net/images/anime/1448/154111.jpg,"In the American Old West, the world's greatest race is about to begin. Thousands line up in San Diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars. With the era of the horse reaching its end, contestants are allowed to use any kind of vehicle they wish. Competitors will have to endure grueling conditions, traveling up to a hundred kilometers a day through uncharted wastelands. The Steel Ball Run is truly a one-of-a-kind event. The youthful Johnny Joestar, a crippled former horse racer, has come to San Diego to watch the start of the race. There he encounters Gyro Zeppeli, a racer with two steel balls at his waist instead of a gun. Johnny witnesses Gyro using one of his steel balls to unleash a fantastical power, compelling a man to fire his gun at himself during a duel. In the midst of the action, Johnny happens to touch the steel ball and feels a power surging through his legs, allowing him to stand up for the first time in two years. Vowing to find the secret of the steel balls, Johnny decides to compete in the race, and so begins his bizarre adventure across America on the Steel Ball Run. [Written by MAL Rewrite]",ONA,Unknown,Currently Airing,"Mar 19, 2026 to ?",,,"Warner Bros. Japan, Studio Mausu, ONEMUSIC","None found, add some",David Production,Manga,"ActionAction, AdventureAdventure, MysteryMystery, SupernaturalSupernatural",,47 min.,R - 17+ (violence & profanity),"9.131 (scored by 9417394,173 users) 1 indicates a weighted score.",#22 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1352,"207,558","6,996",in the american old west the worlds greatest race is about to begin thousands line up in san diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars with the era of the horse reaching its end contestants are allowed to use any kind of vehicle they wish competitors will have to endure grueling conditions traveling up to a hundred kilometers a day through uncharted wastelands the steel ball run is truly a oneofakind event the youthful johnny joestar a crippled former horse racer has come to san diego to watch the start of the race there he encounters gyro zeppeli a racer with two steel balls at his waist instead of a gun johnny witnesses gyro using one of his steel balls to unleash a fantastical power compelling a man to fire his gun at himself during a duel in the midst of the action johnny happens to touch the steel ball and feels a power surging through his legs allowing him to stand up for the first time in two years vowing to find the secret of the steel balls johnny decides to compete in the race and so begins his bizarre adventure across america on the steel ball run written by mal rewrite,american old west worlds greatest race begin thousands line san diego travel six thousand kilometers chance win grand prize fifty million dollars era horse reaching end contestants allowed use kind vehicle wish competitors endure grueling conditions traveling hundred kilometers day uncharted wastelands steel ball run truly oneofakind event youthful johnny joestar crippled former horse racer come san diego watch start race encounters gyro zeppeli racer two steel balls waist instead gun johnny witnesses gyro using one steel balls unleash fantastical power compelling man fire gun duel midst action johnny happens touch steel ball feels power surging legs allowing stand first time two years vowing find secret steel balls johnny decides compete race begins bizarre adventure across america steel ball run written mal rewrite
Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://cdn.myanimelist.net/images/anime/1208/94745.jpg,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor. The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange. As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world. [Written by MAL Rewrite]",TV,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,Sundays at 17:00 (JST),"Aniplex, Square Enix, Mainichi Broadcasting System, Techno Sound","Funimation, Aniplex of America",Bones,Manga,"ActionAction, AdventureAdventure, DramaDrama, FantasyFantasy",ShounenShounen,24 min. per ep.,R - 17+ (violence & profanity),"9.111 (scored by 23146582,314,658 users) 1 indicates a weighted score.",#32 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#3,"3,688,930","242,948",after a horrific alchemy experiment goes wrong in the elric household brothers edward and alphonse are left in a catastrophic new reality ignoring the alchemical principle banning human transmutation the boys attempted to bring their recently deceased mother back to life instead they suffered brutal personal loss alphonses body disintegrated while edward lost a leg and then sacrificed an arm to keep alphonses soul in the physical realm by binding it to a hulking suit of armor the brothers are rescued by their neighbor pinako rockbell and her granddaughter winry known as a biomechanical engineering prodigy winry creates prosthetic limbs for edward by utilizing automail a tough versatile metal used in robots and combat armor after years of training the elric brothers set off on a quest to restore their bodies by locating the philosophers stonea powerful gem that allows an alchemist to defy the traditional laws of equivalent exchange as edward becomes an infamous alchemist and gains the nickname fullmetal the boys journey embroils them in a growing conspiracy that threatens the fate of the world written by mal rewrite,horrific alchemy experiment goes wrong elric household brothers edward alphonse left catastrophic new reality ignoring alchemical principle banning human transmutation boys attempted bring recently deceased mother back life instead suffered brutal personal loss alphonses body disintegrated edward lost leg sacrificed arm keep alphonses soul physical realm binding hulking suit armor brothers rescued neighbor pinako rockbell granddaughter winry known biomechanical engineering prodigy winry creates prosthetic limbs edward utilizing automail tough versatile metal used robots combat armor years training elric brothers set quest restore bodies locating philosophers stonea powerful gem allows alchemist defy traditional laws equivalent exchange edward becomes infamous alchemist gains nickname fullmetal boys journey embroils growing conspiracy threatens fate world written mal rewrite
Chainsaw Man Movie: Reze-hen,https://myanimelist.net/anime/57555/Chainsaw_Man_Movie__Reze-hen,https://cdn.myanimelist.net/images/anime/1763/150638.jpg,"Despite the immediate challenges following becoming a devil hunter with the Public Safety Bureau, Denji has quickly adapted to his new life and responsibilities. As the chaos of Denji's first ordeal with Public Safety settles down, the elite devil hunter Makima decides to take Denji out on a date. Although the date strengthens his affection for Makima and he swears to not fall in love with anyone else, Denji soon finds himself in a tricky situation when he meets a seemingly innocent cafe worker named Reze. With her forward and flirty demeanor, Reze immediately captures Denji's heart, driving him to frequent the cafe where she works and deepen his relationship with her. However, Denji is completely oblivious to the fact that meeting Reze might have grave consequences beyond simply deciding which woman his heart belongs to. [Written by MAL Rewrite]",Movie,1,Finished Airing,"Sep 19, 2025",,,"None found, add some","None found, add some",MAPPA,Manga,"ActionAction, FantasyFantasy",ShounenShounen,1 hr. 39 min.,R - 17+ (violence & profanity),"9.071 (scored by 309579309,579 users) 1 indicates a weighted score.",#42 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#540,"484,760","13,846",despite the immediate challenges following becoming a devil hunter with the public safety bureau denji has quickly adapted to his new life and responsibilities as the chaos of denjis first ordeal with public safety settles down the elite devil hunter makima decides to take denji out on a date although the date strengthens his affection for makima and he swears to not fall in love with anyone else denji soon finds himself in a tricky situation when he meets a seemingly innocent cafe worker named reze with her forward and flirty demeanor reze immediately captures denjis heart driving him to frequent the cafe where she works and deepen his relationship with her however denji is completely oblivious to the fact that meeting reze might have grave consequences beyond simply deciding which woman his heart belongs to written by mal rewrite,despite immediate challenges following becoming devil hunter public safety bureau denji quickly adapted new life responsibilities chaos denjis first ordeal public safety settles elite devil hunter makima decides take denji date although date strengthens affection makima swears fall love anyone else denji soon finds tricky situation meets seemingly innocent cafe worker named reze forward flirty demeanor reze immediately captures denjis heart driving frequent cafe works deepen relationship however denji completely oblivious fact meeting reze might grave consequences beyond simply deciding woman heart belongs written mal rewrite
Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,https://cdn.myanimelist.net/images/anime/1935/127974.jpg,"Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Okabe founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo. However, when Okabe attends a conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Okabe dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN. Due to the novel discovery, Okabe and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, Okabe fights a battle to not only save his loved ones but also to preserve his degrading sanity. [Written by MAL Rewrite]",TV,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,Wednesdays at 02:05 (JST),"Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus, MAGES.",Funimation,White Fox,Visual novel,"DramaDrama, Sci-FiSci-Fi, SuspenseSuspense",,24 min. per ep.,PG-13 - Teens 13 or older,"9.071 (scored by 15232541,523,254 users) 1 indicates a weighted score.",#52 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#14,"2,817,723","202,716",eccentric scientist rintarou okabe has a neverending thirst for scientific exploration together with his ditzy but wellmeaning friend mayuri shiina and his roommate itaru hashida okabe founds the future gadget laboratory in the hopes of creating technological innovations that baffle the human psyche despite claims of grandeur the only notable gadget the trio have created is a microwave that has the mystifying power to turn bananas into green goo however when okabe attends a conference on time travel he experiences a series of strange events that lead him to believe that there is more to the phone microwave gadget than meets the eye apparently able to send text messages into the past using the microwave okabe dabbles further with the time machine attracting the ire and attention of the mysterious organization sern due to the novel discovery okabe and his friends find themselves in an everpresent danger as he works to mitigate the damage his invention has caused to the timeline okabe fights a battle to not only save his loved ones but also to preserve his degrading sanity written by mal rewrite,eccentric scientist rintarou okabe neverending thirst scientific exploration together ditzy wellmeaning friend mayuri shiina roommate itaru hashida okabe founds future gadget laboratory hopes creating technological innovations baffle human psyche despite claims grandeur notable gadget trio created microwave mystifying power turn bananas green goo however okabe attends conference time travel experiences series strange events lead believe phone microwave gadget meets eye apparently able send text messages past using microwave okabe dabbles time machine attracting ire attention mysterious organization sern due novel discovery okabe friends find everpresent danger works mitigate damage invention caused timeline okabe fights battle save loved ones also preserve degrading sanity written mal rewrite
Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,https://cdn.myanimelist.net/images/anime/1245/116760.jpg,"Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo. Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures. [Written by MAL Rewrite]",Movie,1,Finished Airing,"Jan 8, 2021",,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Eleven Arts,Bandai Namco Pictures,Manga,"ActionAction, ComedyComedy, DramaDrama, Sci-FiSci-Fi",ShounenShounen,1 hr. 44 min.,PG-13 - Teens 13 or older,"9.051 (scored by 8767787,677 users) 1 indicates a weighted score.",#62 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1506,"184,995","4,685",two years have passed following the tendoshuus invasion of the oedo central terminal since then the yorozuya have gone their separate ways foreseeing utsuros return gintoki sakata begins surveying earths ley lines for traces of the other mans altana after an encounter with the remnants of the tendoshuuwho continue to press on in search of immortalitygintoki returns to edo later the regrouped shinsengumi and yorozuya begin an attack on the occupied central terminal with the altana harvested by the wreckage of the tendoshuus ship in danger of detonating the yorozuya and their allies fight their enemies while the safety of edoand the rest of the worldhangs in the balance fulfilling the wishes of their teacher shouyou yoshidas former students unite and relive their pasts one final time in an attempt to save their futures written by mal rewrite,two years passed following tendoshuus invasion oedo central terminal since yorozuya gone separate ways foreseeing utsuros return gintoki sakata begins surveying earths ley lines traces mans altana encounter remnants tendoshuuwho continue press search immortalitygintoki returns edo later regrouped shinsengumi yorozuya begin attack occupied central terminal altana harvested wreckage tendoshuus ship danger detonating yorozuya allies fight enemies safety edoand rest worldhangs balance fulfilling wishes teacher shouyou yoshidas former students unite relive pasts one final time attempt save futures written mal rewrite
Gintama°,https://myanimelist.net/anime/28977/Gintama°,https://cdn.myanimelist.net/images/anime/3/72078.jpg,"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko? Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team. Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet. [Written by MAL Rewrite]",TV,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,Wednesdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll",Bandai Namco Pictures,Manga,"ActionAction, ComedyComedy, Sci-FiSci-Fi",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"9.051 (scored by 273315273,315 users) 1 indicates a weighted score.",#72 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#349,"693,135","17,542",gintoki shinpachi and kagura return as the funloving but broke members of the yorozuya team living in an alternatereality edo where swords are prohibited and alien overlords have conquered japan they try to thrive on doing whatever work they can get their hands on however shinpachi and kagura still havent been paid does ginchan really spend all that cash playing pachinko meanwhile when gintoki drunkenly staggers home one night an alien spaceship crashes nearby a fatally injured crew member emerges from the ship and gives gintoki a strange clockshaped device warning him that it is incredibly powerful and must be safeguarded mistaking it for his alarm clock gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill with kagura and shinpachi at his side he sets off to get the device fixed though as usual nothing is ever that simple for the yorozuya team filled with tongueincheek humor and moments of heartfelt emotion gintamas fourth season finds gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet written by mal rewrite,gintoki shinpachi kagura return funloving broke members yorozuya team living alternatereality edo swords prohibited alien overlords conquered japan try thrive whatever work get hands however shinpachi kagura still havent paid ginchan really spend cash playing pachinko meanwhile gintoki drunkenly staggers home one night alien spaceship crashes nearby fatally injured crew member emerges ship gives gintoki strange clockshaped device warning incredibly powerful must safeguarded mistaking alarm clock gintoki proceeds smash device next morning suddenly discovers world outside apartment come standstill kagura shinpachi side sets get device fixed though usual nothing ever simple yorozuya team filled tongueincheek humor moments heartfelt emotion gintamas fourth season finds gintoki friends facing hilarious misadventures dangerous crises yet written mal rewrite
Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,https://cdn.myanimelist.net/images/anime/1517/100633.jpg,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again. Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement. [Written by MAL Rewrite]",TV,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,Mondays at 00:10 (JST),"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,Wit Studio,Manga,"ActionAction, DramaDrama, SuspenseSuspense",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"9.051 (scored by 17972261,797,226 users) 1 indicates a weighted score.",#82 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#20,"2,598,184","63,311",seeking to restore humanitys diminishing hope the survey corps embark on a mission to retake wall maria where the battle against the merciless titans takes the stage once again returning to the tattered shiganshina district that was once his home eren yeager and the corps find the town oddly unoccupied by titans even after the outer gate is plugged they strangely encounter no opposition the mission progresses smoothly until armin arlert highly suspicious of the enemys absence discovers distressing signs of a potential scheme against them shingeki no kyojin season  part  follows eren as he vows to take back everything that was once his alongside him the survey corps strivethrough countless sacrificesto carve a path towards victory and uncover the secrets locked away in the yeager familys basement written by mal rewrite,seeking restore humanitys diminishing hope survey corps embark mission retake wall maria battle merciless titans takes stage returning tattered shiganshina district home eren yeager corps find town oddly unoccupied titans even outer gate plugged strangely encounter opposition mission progresses smoothly armin arlert highly suspicious enemys absence discovers distressing signs potential scheme shingeki kyojin season part follows eren vows take back everything alongside survey corps strivethrough countless sacrificesto carve path towards victory uncover secrets locked away yeager familys basement written mal rewrite
Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,https://cdn.myanimelist.net/images/anime/1337/99013.jpg,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased. Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path. During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world. [Written by MAL Rewrite]",TV,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,Sundays at 10:55 (JST),"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,"ActionAction, AdventureAdventure, FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"9.031 (scored by 19837881,983,788 users) 1 indicates a weighted score.",#92 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#8,"3,194,718","229,616",hunters devote themselves to accomplishing hazardous tasks all from traversing the worlds uncharted territories to locating rare items and monsters before becoming a hunter one must pass the hunter examinationa highrisk selection process in which most applicants end up handicapped or worse deceased ambitious participants who challenge the notorious exam carry their own reason what drives yearold gon freecss is finding ging his father and a hunter himself believing that he will meet his father by becoming a hunter gon takes the first step to walk the same path during the hunter examination gon befriends the medical student leorio paladiknight the vindictive kurapika and exassassin killua zoldyck while their motives vastly differ from each other they band together for a common goal and begin to venture into a perilous world written by mal rewrite,hunters devote accomplishing hazardous tasks traversing worlds uncharted territories locating rare items monsters becoming hunter one must pass hunter examinationa highrisk selection process applicants end handicapped worse deceased ambitious participants challenge notorious exam carry reason drives yearold gon freecss finding ging father hunter believing meet father becoming hunter gon takes first step walk path hunter examination gon befriends medical student leorio paladiknight vindictive kurapika exassassin killua zoldyck motives vastly differ band together common goal begin venture perilous world written mal rewrite
Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,https://cdn.myanimelist.net/images/anime/1976/142016.jpg,"The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli. While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang—a strong supporter of democratic ideals—has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution. As ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is. [Written by MAL Rewrite]",OVA,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",,,"TV Tokyo, Kitty Films, Tokuma Shoten, Tokuma Japan Communications, Wright Staff",Sentai Filmworks,"K-Factory, Kitty Film Mitaka Studio",Novel,"DramaDrama, Sci-FiSci-Fi",,26 min. per ep.,R - 17+ (violence & profanity),"9.021 (scored by 8824388,243 users) 1 indicates a weighted score.",#102 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#756,"364,123","17,878",the yearlong stalemate between the two interstellar superpowers the galactic empire and the free planets alliance comes to an end when a new generation of leaders arises the idealistic military genius reinhard von lohengramm and the fpas reserved historian yang wenli while reinhard climbs the ranks of the empire with the aid of his childhood friend siegfried kircheis he must fight not only the war but also the remnants of the crumbling goldenbaum dynasty in order to free his sister from the kaiser and unify humanity under one genuine ruler meanwhile on the other side of the galaxy yanga strong supporter of democratic idealshas to stand firm in his beliefs despite the struggles of the fpa and show his pupil julian mintz that autocracy is not the solution as ideologies clash amidst the wars many casualties the two strategic masterminds must ask themselves what the real reason behind their battle is written by mal rewrite,yearlong stalemate two interstellar superpowers galactic empire free planets alliance comes end new generation leaders arises idealistic military genius reinhard von lohengramm fpas reserved historian yang wenli reinhard climbs ranks empire aid childhood friend siegfried kircheis must fight war also remnants crumbling goldenbaum dynasty order free sister kaiser unify humanity one genuine ruler meanwhile side galaxy yanga strong supporter democratic idealshas stand firm beliefs despite struggles fpa show pupil julian mintz autocracy solution ideologies clash amidst wars many casualties two strategic masterminds must ask real reason behind battle written mal rewrite
Gintama',https://myanimelist.net/anime/9969/Gintama,https://cdn.myanimelist.net/images/anime/4/50361.jpg,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child. Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it. With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo. [Written by MAL Rewrite]",TV,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,Mondays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Shueisha","None found, add some",Sunrise,Manga,"ActionAction, ComedyComedy, Sci-FiSci-Fi",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"9.021 (scored by 258382258,382 users) 1 indicates a weighted score.",#112 2 based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#407,"615,478","8,631",after a oneyear hiatus shinpachi shimura returns to edo only to stumble upon a shocking surprise gintoki and kagura his fellow yorozuya members have become completely different characters fleeing from the yorozuya headquarters in confusion shinpachi finds that all the denizens of edo have undergone impossibly extreme changes in both appearance and personality most unbelievably his sister otae has married the shinsengumi chief and shameless stalker isao kondou and is pregnant with their first child bewildered shinpachi agrees to join the shinsengumi at otae and kondous request and finds even more startling transformations afoot both in and out of the ranks of the the organization however discovering that vice chief toushirou hijikata has remained unchanged shinpachi and his unlikely shinsengumi ally set out to return the city of edo to how they remember it with even more dirty jokes tongueincheek parodies and shameless references gintama follows the yorozuya team through more of their misadventures in the vibrant alienfilled world of edo written by mal rewrite,oneyear hiatus shinpachi shimura returns edo stumble upon shocking surprise gintoki kagura fellow yorozuya members become completely different characters fleeing yorozuya headquarters confusion shinpachi finds denizens edo undergone impossibly extreme changes appearance personality unbelievably sister otae married shinsengumi chief shameless stalker isao kondou pregnant first child bewildered shinpachi agrees join shinsengumi otae kondous request finds even startling transformations afoot ranks organization however discovering vice chief toushirou hijikata remained unchanged shinpachi unlikely shinsengumi ally set return city edo remember even dirty jokes tongueincheek parodies shameless references gintama follows yorozuya team misadventures vibrant alienfilled world edo written mal rewrite
